target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3
C94266,1,,,,O=C(O)C1CNC1,CC(=O)c1ccc(N)cc1,CC(=O)c1ccc(NC(=O)C2CNC2)cc1,Amidation,,,,,,,,,,,,,,
C64598,1,,,,CCC(=O)c1ccc(O)cc1,ClCCBr,CCC(=O)c1ccc(OCCBr)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C94275,1,,,,O=C(O)CO,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CO)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C64611,1,,,,O=C1CCc2cc(O)ccc21,N#CCBr,N#CCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64612,1,,,,CCC(=O)c1ccc(O)cc1,N#CCBr,CCC(=O)c1ccc(OCC#N)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C62401,1,,,,COCC(=O)O,O=C1NCC2CCNCC12,COCC(=O)N1CCC2CNC(=O)C2C1,Amidation,,,,,,,,,,,,,,
C64617,1,,,,CCC(=O)c1ccc(O)cc1,FCCI,CCC(=O)c1ccc(OCCF)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64618,1,,,,O=C1CCc2cc(O)ccc21,FCCI,O=C1CCc2cc(OCCF)ccc21,Williamson_ether_synthesis,,,,,,,,,,,,,,
C72517,1,,,,COCCCI,O=C(CCl)c1ccc(O)c(O)c1,COCCCOc1ccc(C(=O)CCl)cc1O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C72518,1,,,,COCCCI,O=C(CCl)c1ccc(O)cc1O,COCCCOc1cc(O)ccc1C(=O)CCl,Williamson_ether_synthesis,,,,,,,,,,,,,,
C72519,1,,,,COCCCI,O=C(CCl)c1ccc(O)cc1O,COCCCOc1ccc(C(=O)CCl)c(O)c1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64654,1,,,,O=C1CCc2cc(O)ccc21,ClCCBr,O=C1CCc2cc(OCCBr)ccc21,Williamson_ether_synthesis,,,,,,,,,,,,,,
C72561,1,,,,COCCCI,O=C(CCl)c1ccc(O)c(O)c1,COCCCOc1cc(C(=O)CCl)ccc1O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C82273,1,,,,CCI,O=C1CCc2cc(O)ccc21,CCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C50680,1,,,,CCC(C)(C#N)C(=O)O,CCOC(=O)c1nn(C)c(N)c1Br,CCOC(=O)c1nn(C)c(NC(=O)C(C)(C#N)CC)c1Br,Amidation,,,,,,,,,,,,,,
C84940,1,,,,C=C(Br)CI,COc1cc(C(C)=O)ccc1O,C=C(CI)Oc1ccc(C(C)=O)cc1OC,Williamson_ether_synthesis,,,,,,,,,,,,,,
C96470,1,,,,NC(=O)C(=O)O,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)C(N)=O)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C94413,1,,,,C=C(Cl)C(=O)O,CC(=O)c1ccc(N)cc1Cl,C=C(Cl)C(=O)Nc1ccc(C(C)=O)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C94423,1,,,,O=C(O)CS,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CS)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C70609,1,,,,O=C1CCCCc2cc(O)ccc21,C#CCCI,C#CCCOc1ccc2c(c1)CCCCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C52931,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,NC1(C(F)F)CC2(CC2)C1,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CC3(CC3)C2)cn1,Amidation,,,,,,,,,,,,,,
C28399,1,,,,CN1CCN(c2ccc(N)nc2)CC1=O,CSc1cccc(C(=O)O)c1,CSc1cccc(C(O)Nc2ccc(N3CCN(C)C(=O)C3)cn2)c1,Reductive_amination,,,,,,,,,,,,,,
C19759,1,,,,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,CC(C)(C)OC(=O)N1CCC1C(=O)O,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)C1CCN1C(=O)OC(C)(C)C)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,
C62611,1,,,,NC(=O)C1CCCNC1,O=C(O)C1C=CCO1,NC(=O)C1CCCN(C(=O)C2C=CCO2)C1,Amidation,,,,,,,,,,,,,,
C62614,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCCO1,NC(=O)C1CCCN(C(=O)C2CCCO2)C1,Amidation,,,,,,,,,,,,,,
C42052,1,,,,COc1cncc(CCC(=O)O)c1,NC1CC(=O)NC1=O,COc1cncc(CCC(=O)NC2CC(=O)NC2=O)c1,Amidation,,,,,,,,,,,,,,
C64791,1,,,,CCC(=O)c1ccc(O)cc1,CCCCI,CCCCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64792,1,,,,O=C1CCc2cc(O)ccc21,CCCCI,CCCCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C68702,1,,,,O=C1CCCCc2cc(O)ccc21,C=C(Br)CI,C=C(Br)COc1ccc2c(c1)CCCCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C100766,1,,,,O=C(O)CCl,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(N(N)C(=O)CCl)cc1,Amidation,,,,,,,,,,,,,,
C100767,1,,,,O=C(O)CCl,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NNC(=O)CCl)cc1,Amidation,,,,,,,,,,,,,,
C30540,1,,,,Cn1nc(C2CCOCC2)cc1C(=O)O,CC1(CO)CNC(=O)C1,Cn1nc(C2CCOCC2)cc1C(=O)OCC1(C)CNC(=O)C1,Steglich_esterification,,,,,,,,,,,,,,
C106976,1,,,,COCC(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,COCC(=O)N1CCc2cc(C(=O)N(C)C)ccc21,Amidation,,,,,,,,,,,,,,
C90928,1,,,,N#CCBr,O=Cc1cc(Cl)c(O)c(Br)c1,N#CCOc1c(Cl)cc(C=O)cc1Br,Williamson_ether_synthesis,,,,,,,,,,,,,,
C35961,1,,,,Nc1c[nH]c2ccccc12,Cc1cc(C(N)=O)ccc1C(=O)O,Cc1cc(C(N)=O)ccc1C(=O)Nc1c[nH]c2ccccc12,Amidation,,,,,,,,,,,,,,
C100836,1,,,,O=C(O)CS,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(N(N)C(=O)CS)cc1,Amidation,,,,,,,,,,,,,,
C100837,1,,,,O=C(O)CS,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NNC(=O)CS)cc1,Amidation,,,,,,,,,,,,,,
C46699,1,,,,CC(C#N)C(=O)O,COc1nc(C(N)=O)ccc1N,COc1nc(C(N)=O)ccc1NC(=O)C(C)C#N,Amidation,,,,,,,,,,,,,,
C20014,1,,,,O=C(NC1CCCNC1)c1ccccc1,O=C(O)C1CCNC1=O,O=C(NC1CCCN(C(=O)C2CCNC2=O)C1)c1ccccc1,Amidation,,,,,,,,,,,,,,
C100883,1,,,,NCC(=O)O,NNc1ccc(C(N)=O)cc1,NCC(=O)NNc1ccc(C(N)=O)cc1,Amidation,,,,,,,,,,,,,,
C107048,1,,,,NC(=O)C(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)C(N)=O,Amidation,,,,,,,,,,,,,,
C100893,1,,,,NCC(=O)O,NNc1ccc(C(N)=O)cc1,NCC(=O)N(N)c1ccc(C(N)=O)cc1,Amidation,,,,,,,,,,,,,,
C107058,1,,,,N#CCC(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)CC#N,Amidation,,,,,,,,,,,,,,
C46753,1,,,,CC(C#N)C(=O)O,CN(C)C(=O)c1ccc(N)cn1,CC(C#N)C(=O)Nc1ccc(C(=O)N(C)C)nc1,Amidation,,,,,,,,,,,,,,
C94670,1,,,,NCC(=O)O,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CN)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C49357,1,,,,N#CCC(=O)O,CCOC(=O)c1nn(C)c(N)c1Br,CCOC(=O)c1nn(C)c(NC(=O)CC#N)c1Br,Amidation,,,,,,,,,,,,,,
C68874,1,,,,CCC(=O)c1ccc(O)c(Cl)c1,COCCCI,CCC(=O)c1ccc(OCCCOC)c(Cl)c1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C85247,1,,,,C=C(Br)CI,COc1cc(C(C)=O)ccc1O,C=C(Br)COc1ccc(C(C)=O)cc1OC,Williamson_ether_synthesis,,,,,,,,,,,,,,
C94698,1,,,,O=C(O)CCl,CC(=O)c1cc(Cl)c(N)c(Cl)c1,CC(=O)c1cc(Cl)c(NC(=O)CCl)c(Cl)c1,Amidation,,,,,,,,,,,,,,
C64992,1,,,,CCC(=O)c1ccc(O)cc1,NCCCI,CCC(=O)c1ccc(OCCCN)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64993,1,,,,O=C1CCc2cc(O)ccc21,NCCCI,NCCCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C30787,1,,,,Cn1nc(C2CCOCC2)cc1C(=O)O,O=C1CC(CO)CN1C1CC1,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CC(=O)N(C2CC2)C1,Steglich_esterification,,,,,,,,,,,,,,
C105072,1,,,,O=C(O)C1CNC1,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NNC(=O)C2CNC2)cc1,Amidation,,,,,,,,,,,,,,
C65002,1,,,,O=C1CCc2cc(O)ccc21,C=C(Br)CI,C=C(CI)Oc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C105073,1,,,,O=C(O)C1CNC1,NNc1ccc(C(N)=O)cc1,NC(=O)c1ccc(N(N)C(=O)C2CNC2)cc1,Amidation,,,,,,,,,,,,,,
C65004,1,,,,CCC(=O)c1ccc(O)cc1,C=C(Br)CI,C=C(CI)Oc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C42376,1,,,,COc1cncc(CCC(=O)O)c1,CCNC1CCNC1=O,CCN(C(=O)CCc1cncc(OC)c1)C1CCNC1=O,Amidation,,,,,,,,,,,,,,
C65035,1,,,,CCC(=O)c1ccc(O)c(Cl)c1,FCCI,CCC(=O)c1ccc(OCCF)c(Cl)c1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C94797,1,,,,C=C(Cl)C(=O)O,CC(=O)c1cc(Cl)c(N)c(Cl)c1,C=C(Cl)C(=O)Nc1c(Cl)cc(C(C)=O)cc1Cl,Amidation,,,,,,,,,,,,,,
C65105,1,,,,CCI,O=C1CCCCc2cc(O)ccc21,CCOc1ccc2c(c1)CCCCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C65122,1,,,,O=C1CCc2cc(O)ccc21,C=C(Br)CI,C=C(Br)COc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C67125,1,,,,CCC(=O)c1ccc(O)c(Cl)c1,CC=CCI,CC=CCOc1ccc(C(=O)CC)cc1Cl,Williamson_ether_synthesis,,,,,,,,,,,,,,
C65154,1,,,,CCC(=O)c1ccc(O)cc1,N#CCCI,CCC(=O)c1ccc(OCCC#N)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C65155,1,,,,O=C1CCc2cc(O)ccc21,N#CCCI,N#CCCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C65159,1,,,,CCC(=O)c1ccc(O)cc1,C=C(Br)CI,C=C(Br)COc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C101136,1,,,,NC(CCl)C(=O)O,Nc1ccc(C=O)cc1,NC(CCl)C(=O)Nc1ccc(C=O)cc1,Amidation,,,,,,,,,,,,,,
C75493,1,,,,O=C(O)C1CNC1,Nc1ccc2c(c1)C(=O)C(Cl)=C(Cl)C2=O,O=C1C(Cl)=C(Cl)C(=O)c2cc(NC(=O)C3CNC3)ccc21,Amidation,,,,,,,,,,,,,,
C63105,1,,,,O=C1NCC2CCNCC12,O=C(O)C1CCCO1,O=C1NCC2CCN(C(=O)C3CCCO3)CC12,Amidation,,,,,,,,,,,,,,
