Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] P2 Wave 1,[Other] P3 compound design,[Other] New,[Other] Active site fragment,[Other] S1 site,[Other] S1' site,[Other] S2 site,[Other] S3 site,[Other] S5 site,[Other] Covalent,[Series] Piperidine series,[Other] Sun-roof open,[Other] Fragment Screen,[Other] upload_1 2024-12-06,[Other] S4 site,[Other] Bogyo covalents,[Series] Indazole series,[Other] upload_061224,[Other] upload_2 2024-12-12
A3992b,A71EV2A-x3992_C_201_v1,A71EV2A-x3992,ASAP-0034386-001,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6n - A71EV2A-x3858/C/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,A3992a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3992a,A71EV2A-x3992_A_201_v1,A71EV2A-x3992,ASAP-0034386-001,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6m - A71EV2A-x3858/A/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,A3992a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4012b,A71EV2A-x4012_C_201_v1,A71EV2A-x4012,ASAP-0032393-001,COc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6n - A71EV2A-x3858/C/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,A4012a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4012a,A71EV2A-x4012_A_201_v1,A71EV2A-x4012,ASAP-0032393-001,COc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6m - A71EV2A-x3858/A/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,A4012a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4017b,A71EV2A-x4017_C_201_v1,A71EV2A-x4017,ASAP-0032691-001,Cn1ncc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7k - A71EV2A-x3509/C/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7k - A3509/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7k - A3509/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A4017a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4017a,A71EV2A-x4017_A_201_v1,A71EV2A-x4017,ASAP-0032691-001,Cn1ncc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7j - A71EV2A-x3509/A/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7j - A3509/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7j - A3509/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A4017a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4018b,A71EV2A-x4018_C_201_v1,A71EV2A-x4018,ASAP-0032634-001,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6n - A71EV2A-x3858/C/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,A4018a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4018a,A71EV2A-x4018_A_201_v1,A71EV2A-x4018,ASAP-0032634-001,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6m - A71EV2A-x3858/A/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,A4018a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4020b,A71EV2A-x4020_C_201_v1,A71EV2A-x4020,ASAP-0032593-001,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7k - A71EV2A-x3509/C/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7k - A3509/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7k - A3509/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A4020a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4020a,A71EV2A-x4020_A_201_v1,A71EV2A-x4020,ASAP-0032593-001,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7j - A71EV2A-x3509/A/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7j - A3509/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7j - A3509/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A4020a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4029a,A71EV2A-x4029_A_201_v1,A71EV2A-x4029,ASAP-0032526-001,COc1ccccc1CN1C[C@H](C(N)=O)CCC1=O,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F8h - A71EV2A-x0884/A/147/1,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,A4029a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4031b,A71EV2A-x4031_C_201_v1,A71EV2A-x4031,ASAP-0032550-001,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6n - A71EV2A-x3858/C/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6n - A3858/C/201,A1 - monomer,F6 - short/long/x4018,A4031a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4031a,A71EV2A-x4031_A_201_v1,A71EV2A-x4031,ASAP-0032550-001,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6m - A71EV2A-x3858/A/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6m - A3858/A/201,A1 - monomer,F6 - short/long/x4018,A4031a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4290a,A71EV2A-x4290_A_201_v1,A71EV2A-x4290,ASAP-0035411-001,CSc1c(Br)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F8h - A71EV2A-x0884/A/147/1,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,A4290a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4298a,A71EV2A-x4298_A_201_v1,A71EV2A-x4298,ASAP-0035413-001,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)n1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A4298a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
