,1_product_smiles
114,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
115,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
116,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
117,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
118,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
119,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
120,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
121,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
122,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
123,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
124,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
125,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
126,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
127,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
128,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
129,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
130,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
131,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
132,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
133,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
134,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
135,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
136,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
137,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
138,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
139,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
140,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
141,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
142,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
143,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
